strategy,condition,label,category,n,baseline_recall,masked_recall,recall_drop,ci_low,ci_high,true_probability_drop
frozen,N10,0,Nucleus,808,0.8514851485148515,0.844059405940594,0.007425742574257425,-0.008663366336633664,0.024752475247524754,0.0028208970404653153
frozen,N10,1,Cytoplasm,508,0.5374015748031497,0.4940944881889764,0.04330708661417323,0.011811023622047244,0.07288385826771648,0.014407054536091628
frozen,N10,2,Extracellular,393,0.8575063613231552,0.7989821882951654,0.058524173027989825,0.030534351145038167,0.08651399491094147,0.06052637723326628
frozen,N10,3,Mitochondrion,302,0.6821192052980133,0.5927152317880795,0.08940397350993377,0.039735099337748346,0.1357615894039735,0.08581153968282657
frozen,N10,4,Cell membrane,273,0.6263736263736264,0.6227106227106227,0.003663003663003663,-0.02197802197802198,0.02564102564102564,0.014712148900121144
frozen,N10,5,Endoplasmic reticulum,173,0.3930635838150289,0.3699421965317919,0.023121387283236993,-0.017341040462427744,0.06358381502890173,-0.0028580614368472843
frozen,N10,6,Chloroplast,152,0.8947368421052632,0.7697368421052632,0.125,0.07236842105263158,0.18421052631578946,0.1307927929946455
frozen,N10,7,Golgi apparatus,70,0.37142857142857144,0.38571428571428573,-0.014285714285714285,-0.057499999999999975,0.02857142857142857,0.0069955147498730556
frozen,N10,8,Lysosome/Vacuole,64,0.09375,0.203125,-0.109375,-0.203125,-0.03125,-0.02440381113205578
frozen,N10,9,Peroxisome,30,0.2,0.16666666666666666,0.03333333333333333,-0.1,0.13333333333333333,0.020719018678046833
frozen,C10,0,Nucleus,808,0.8514851485148515,0.844059405940594,0.007425742574257425,-0.007425742574257425,0.023514851485148515,0.0006699877026666285
frozen,C10,1,Cytoplasm,508,0.5374015748031497,0.5,0.03740157480314961,0.007824803149606301,0.0688976377952756,0.01059630195006925
frozen,C10,2,Extracellular,393,0.8575063613231552,0.8346055979643766,0.022900763358778626,0.0,0.04834605597964377,0.023670557907479312
frozen,C10,3,Mitochondrion,302,0.6821192052980133,0.6721854304635762,0.009933774834437087,-0.019867549668874173,0.039735099337748346,0.0017336851976812598
frozen,C10,4,Cell membrane,273,0.6263736263736264,0.6446886446886447,-0.018315018315018316,-0.040293040293040296,0.0,0.0053366760283283824
frozen,C10,5,Endoplasmic reticulum,173,0.3930635838150289,0.3930635838150289,0.0,-0.046242774566473986,0.05202312138728324,0.0018342587107724078
frozen,C10,6,Chloroplast,152,0.8947368421052632,0.9078947368421053,-0.013157894736842105,-0.039473684210526314,0.013157894736842105,0.00043242848793936003
frozen,C10,7,Golgi apparatus,70,0.37142857142857144,0.4,-0.02857142857142857,-0.07142857142857142,0.0,-0.0031434670468903584
frozen,C10,8,Lysosome/Vacuole,64,0.09375,0.109375,-0.015625,-0.046875,0.0,-0.025581924363396232
frozen,C10,9,Peroxisome,30,0.2,0.1,0.1,0.0,0.2,0.039286214322007434
frozen,internal10,0,Nucleus,808,0.8514851485148515,0.8527227722772277,-0.0012376237623762376,-0.018564356435643563,0.01485148514851485,0.0008531925881021508
frozen,internal10,1,Cytoplasm,508,0.5374015748031497,0.5177165354330708,0.01968503937007874,-0.011811023622047244,0.05123031496062987,0.013416409627036096
frozen,internal10,2,Extracellular,393,0.8575063613231552,0.8295165394402035,0.027989821882951654,0.0,0.05597964376590331,0.03073583847867406
frozen,internal10,3,Mitochondrion,302,0.6821192052980133,0.6556291390728477,0.026490066225165563,-0.013245033112582781,0.06291390728476821,0.030354097497594303
frozen,internal10,4,Cell membrane,273,0.6263736263736264,0.663003663003663,-0.03663003663003663,-0.06227106227106227,-0.014560439560439644,-0.004106256433235459
frozen,internal10,5,Endoplasmic reticulum,173,0.3930635838150289,0.36416184971098264,0.028901734104046242,-0.011560693641618497,0.07514450867052024,0.0008431761728428512
frozen,internal10,6,Chloroplast,152,0.8947368421052632,0.9078947368421053,-0.013157894736842105,-0.039473684210526314,0.013157894736842105,0.004116482729719818
frozen,internal10,7,Golgi apparatus,70,0.37142857142857144,0.42857142857142855,-0.05714285714285714,-0.11428571428571428,-0.014285714285714285,-0.02463686672017567
frozen,internal10,8,Lysosome/Vacuole,64,0.09375,0.109375,-0.015625,-0.078125,0.03125,-0.013202464598714008
frozen,internal10,9,Peroxisome,30,0.2,0.1,0.1,0.0,0.23333333333333334,0.04920757751487157
linear,N10,0,Nucleus,808,0.9108910891089109,0.9183168316831684,-0.007425742574257425,-0.017326732673267328,0.0024752475247524753,-0.004785213535226927
linear,N10,1,Cytoplasm,508,0.5551181102362205,0.4822834645669291,0.07283464566929133,0.04921259842519685,0.09645669291338582,0.04917263706122959
linear,N10,2,Extracellular,393,0.9618320610687023,0.910941475826972,0.05089058524173028,0.030534351145038167,0.0737913486005089,0.07711355153187177
