bin,n,confidence,accuracy
0,0,,
1,0,,
2,6,0.2641382432978469,0.3333333333333333
3,22,0.3547467166766848,0.09090909090909091
4,49,0.45351198617488814,0.2857142857142857
5,45,0.546640736852636,0.3333333333333333
6,60,0.6470785026269898,0.3333333333333333
7,53,0.7532743185703308,0.4716981132075472
8,100,0.8573145119778702,0.5
9,2438,0.9848941799535704,0.8494667760459393
