bin,n,confidence,accuracy
0,0,,
1,0,,
2,14,0.2200926869199241,0.35714285714285715
3,122,0.38403860136975493,0.27049180327868855
4,278,0.42361929725535313,0.3489208633093525
5,345,0.5769105716334241,0.46956521739130436
6,424,0.6217483833769505,0.5849056603773585
7,214,0.7771449582947425,0.705607476635514
8,442,0.817671710773894,0.7918552036199095
9,934,0.9993927415948749,0.9379014989293362
