epoch,step,loss,accuracy,examples_seen
1,693,1.3206548915986924,0.5763644564727108,11085
2,1386,0.9572531239320741,0.6938204781235905,11085
3,2079,0.8607598883104475,0.7213351375732973,11085
4,2772,0.8103435380210412,0.7377537212449256,11085
5,3465,0.7776890979406799,0.7449706811005864,11085
6,4158,0.7543239601947834,0.7555254848894903,11085
7,4851,0.7361061789401222,0.7584122688317546,11085
8,5544,0.7211064515481621,0.7624718087505639,11085
9,6237,0.7100547566089105,0.7637347767253044,11085
10,6930,0.6997798215713811,0.7683355886332882,11085
