bin,n,confidence,accuracy
0,0,,
1,1,0.1895510364996245,0.0
2,56,0.2671909232464243,0.25
3,141,0.35415458484362855,0.4326241134751773
4,339,0.4554721662006356,0.5014749262536873
5,435,0.5487954363063183,0.593103448275862
6,344,0.6479677655799672,0.7093023255813954
7,296,0.7510482514210618,0.8040540540540541
8,404,0.8540560087852187,0.8861386138613861
9,757,0.9557327881727169,0.9841479524438573
