strategy,accuracy,macro_f1,ece,nll,brier,trainable_parameters,total_seconds,train_seconds,gpu_peak_mb,mps_allocated_mb,rss_mb,device,status,test_n,limited_steps,max_length,adaptation
frozen,0.4,0.258030118030118,0.21841160142433078,10.579414533239227,0.794096191396952,0,4.544967000023462,0.030663790996186435,,584.936279296875,510.546875,mps,SMOKE_PLACEHOLDER,40,False,128,frozen
linear,0.25,0.04,0.0537425012846553,2.0741150715380052,0.8456779255008303,6410,4.829433290986344,0.19803391594905406,,0.173828125,474.6875,mps,SMOKE_PLACEHOLDER,40,False,128,linear
lora,0.275,0.10184210526315789,0.14432143812287673,2.2110185100187785,0.8808615811532192,620810,20.35975420800969,18.64496670803055,,734.40625,627.015625,mps,SMOKE_PLACEHOLDER,40,False,128,lora
full,0.225,0.04186046511627907,0.09525605676142754,2.2927501247021134,0.8973137402590549,148391050,7.707829249906354,3.3732587919803336,,2576.2216796875,1335.765625,mps,SMOKE_PLACEHOLDER,40,True,128,full
