strategy,group,n,accuracy,macro_f1,ece,nll,brier
frozen,length_0_128,227,0.7533039647577092,0.4338783261796815,0.09673291492699386,3.7778764224900705,0.3427662570238656
frozen,length_129_512,1478,0.7083897158322057,0.5965162021179984,0.0544475689660507,4.561234907917085,0.41861507394973874
frozen,length_513_plus,1068,0.6591760299625468,0.5123013286642866,0.06639878035494032,4.583215645592771,0.46398746557372755
frozen,membrane_M,743,0.5612382234185733,0.41623229727893696,0.14216269213365468,7.974979350616645,0.592920937764235
frozen,membrane_S,1006,0.6898608349900597,0.3446829754645086,0.06824913333069757,3.371356935824813,0.431035805947992
frozen,membrane_U,1024,0.7919921875,0.2975765741464542,0.043687940040336735,3.102502652687351,0.3104466360667635
frozen,class_Nucleus,808,0.8527227722772277,0.09205076820307281,0.06454477513187697,1.4629561983741786,0.22856093645412817
frozen,class_Cytoplasm,508,0.5393700787401575,0.07007672634271099,0.14364247096788604,4.62986713982406,0.6181067794445382
frozen,class_Extracellular,393,0.8625954198473282,0.09262295081967213,0.029445543514433927,1.719708120592195,0.20609254052078876
frozen,class_Mitochondrion,302,0.6854304635761589,0.08133595284872298,0.06191830859295871,5.316110185821822,0.4591096413893657
frozen,class_Cell membrane,273,0.6227106227106227,0.07674943566591422,0.12545338481141666,5.711388042207861,0.4874705029419214
frozen,class_Endoplasmic reticulum,173,0.3930635838150289,0.056431535269709544,0.24009683404856685,11.851791120412289,0.8523722686161459
frozen,class_Chloroplast,152,0.9013157894736842,0.09480968858131487,0.04197504409354583,0.447158000606116,0.13588326651240107
frozen,class_Golgi apparatus,70,0.37142857142857144,0.05416666666666666,0.27701819551315987,14.883799020358863,0.9100354333801776
frozen,class_Lysosome/Vacuole,64,0.09375,0.017142857142857144,0.45932965658397185,20.827410999879074,1.163839177619052
frozen,class_Peroxisome,30,0.2,0.03333333333333333,0.4785810180358844,20.87495725361045,1.1452126049999498
frozen,terminal_X_mask_10_each,2773,0.6509195816804905,0.5351279000724418,0.07433206617693089,4.878348993182664,0.47844103317386255
linear,length_0_128,227,0.7929515418502202,0.4301476031701396,0.04656346617071741,0.6128400189161965,0.2898697821979819
linear,length_129_512,1478,0.7625169147496617,0.6028823864516294,0.03316035982934148,0.749784101710882,0.33874111074686586
linear,length_513_plus,1068,0.7312734082397003,0.5603589756564263,0.0637661157529218,0.8608104638588207,0.39546881623811797
linear,membrane_M,743,0.6218034993270525,0.40837796826123285,0.047405081015561776,1.2170457855735999,0.5132790745959509
linear,membrane_S,1006,0.7415506958250497,0.35715356149047306,0.06719631273938013,0.6880023321385444,0.3596094457979886
linear,membrane_U,1024,0.859375,0.2879993810778142,0.09383940658589053,0.5568806613391799,0.23992875301518699
linear,class_Nucleus,808,0.9133663366336634,0.09547218628719276,0.14038573563576714,0.41449979320139396,0.1810938527217363
linear,class_Cytoplasm,508,0.5511811023622047,0.07106598984771574,0.12959686646203972,1.0140063633222545,0.5801512760111974
linear,class_Extracellular,393,0.9618320610687023,0.0980544747081712,0.11194209674916268,0.29535534682069203,0.10366701638945292
linear,class_Mitochondrion,302,0.8145695364238411,0.08978102189781022,0.10290524141897861,0.6554349298687088,0.2805650560664665
linear,class_Cell membrane,273,0.7545787545787546,0.08601252609603341,0.08277411452004929,0.819748368545216,0.3635030819617919
linear,class_Endoplasmic reticulum,173,0.4797687861271676,0.06484375,0.11012989199308003,1.5736753518105056,0.6930680730003876
linear,class_Chloroplast,152,0.8947368421052632,0.09444444444444444,0.0858166578644681,0.39314542569340793,0.16372867530817772
linear,class_Golgi apparatus,70,0.18571428571428572,0.03132530120481928,0.30580432620384845,2.6626800863098667,1.0201658072517334
linear,class_Lysosome/Vacuole,64,0.078125,0.014492753623188406,0.47601788770516273,2.588431131478244,1.1312904581417218
linear,class_Peroxisome,30,0.1,0.01818181818181818,0.4043399012300025,3.1583884263603106,1.1489986639656555
linear,terminal_X_mask_10_each,2773,0.6985214569058781,0.5205193301745991,0.028727768585825514,0.9165642945237312,0.4209785418300755
lora,length_0_128,227,0.801762114537445,0.4780911287323445,0.11635931961262343,0.7503523905265377,0.2968783638176962
lora,length_129_512,1478,0.7841677943166441,0.6161289806189083,0.13187967816277524,0.9233816675306703,0.34660876292244697
lora,length_513_plus,1068,0.7462546816479401,0.5923208362749822,0.1696851636837526,1.128693618863799,0.41789106459918357
lora,membrane_M,743,0.6554508748317631,0.4271793049427468,0.20373145090503794,1.5051265538494116,0.5410561976760332
lora,membrane_S,1006,0.7952286282306164,0.3885360286858281,0.1255978650672509,0.8706340675847755,0.339494680686709
lora,membrane_U,1024,0.8310546875,0.3128206348706239,0.12046726523857038,0.7288730280331985,0.27583046243535136
lora,class_Nucleus,808,0.8613861386138614,0.0925531914893617,0.09827467183345084,0.5597446810694137,0.22851442834819138
lora,class_Cytoplasm,508,0.6850393700787402,0.08130841121495327,0.2035365103499796,1.2917965479794558,0.5250164505852803
lora,class_Extracellular,393,0.910941475826972,0.09533954727030626,0.03873516844992697,0.39844471958461336,0.13819404124724763
