strategy,accuracy,macro_f1,ece,nll,brier,trainable_parameters,total_seconds,train_seconds,gpu_peak_mb,mps_allocated_mb,rss_mb,device,status,test_n,limited_steps,max_length,adaptation
frozen,0.6931121529029931,0.5739822324464982,0.06251200001418208,4.505574270212686,0.4298808629191751,0,411.15165181900375,34.24418693012558,785.68603515625,,1314.97265625,cuda,FULL_RUN,2773,False,512,frozen
linear,0.7529751172015867,0.5901701588375321,0.04267790305227732,0.7813347140367402,0.3565887118590406,6410,391.5537275990937,13.973841664846987,785.68603515625,,1291.4765625,cuda,FULL_RUN,2773,False,512,linear
lora,0.7710061305445366,0.6140053693508801,0.14463844207875706,0.9882916993171266,0.36999163259211026,620810,6441.460699377116,6352.417880665045,1091.5029296875,,1479.21484375,cuda,FULL_RUN,2773,False,512,lora
full,0.7930039668229355,0.684964355297645,0.15279200496014356,0.9934086528256311,0.35882216422095287,148391050,6465.57499345392,6378.816935739946,2167.1279296875,,2891.7890625,cuda,FULL_RUN,2773,False,512,full
