bin,n,confidence,accuracy
0,0,,
1,0,,
2,3,0.22552752326198866,0.3333333333333333
3,5,0.3755551786351921,0.2
4,5,0.4198814164864433,0.2
5,7,0.5848218393944011,0.2857142857142857
6,6,0.620197176837573,0.3333333333333333
7,5,0.7928211633520797,0.8
8,8,0.8231291913906467,0.5
9,1,1.0,1.0
