bin,n,confidence,accuracy
0,0,,
1,0,,
2,3,0.25941999887303946,0.0
3,27,0.35624457495709616,0.14814814814814814
4,62,0.4579852388979869,0.3225806451612903
5,103,0.5500369243012041,0.3592233009708738
6,121,0.650030307421576,0.5206611570247934
7,123,0.7466449941401061,0.45528455284552843
8,213,0.8580755248563288,0.5633802816901409
9,2121,0.9855613201685955,0.8665723715228666
